ID,Name,Concepticon_ID,Concepticon_Gloss,Swahili_Gloss,Source_ID
108_genetkindofspeckledcivetcat,genet (=kind of speckled civet cat) ,,,fungo,108
109_civetcat,civet cat,3018,NATIVE CAT,ngawa (=paka wa zabadi),109
110_rub,rub,1449,RUB,(ku)sugua,110
111_polish,polish,3659,POLISH (SOMETHING),(ku)katua,111
112_wipe,wipe,1454,WIPE,(ku)futa,112
113_broth,broth,,,mchuzi,113
114_poke,poke,,,(ku)chocha,114
115_thrustinto,thrust into,,,(ku)choma,115
116_shame,shame,1776,SHAME,soni,116
117_cuttoshapesharpentoapoint,"cut to shape, sharpen to a point",,,(ku)chonga,117
118_incite,incite,,,(ku)chonjomoa,118
119_tippoint,"tip, point",,,ncha,119
120_caninetoothtoothfiledtoapoint,"canine tooth, tooth filed to a point",,,chonge,120
121_termite,termite,883,TERMITE,mchwa,121
122_anthill,ant-hill,1873,ANTHILL,chuguu,122
123_skin,skin,763,SKIN,ngozi (ya mtu),123
124_skin,skin,763,SKIN,ganda (ya matunda),124
125_bite,bite,1403,BITE,(ku)uma,125
126_fish,fish,227,FISH,samaki (=nswi),126
127_wash,wash,1453,WASH,(ku)osha,127
128_washclothes,wash (clothes),1453,WASH,(ku)fua (nguo),128
129_washtakeabath,"wash, take a bath",1453,WASH,(ku)oga / (ku)koga,129
130_day,day,,,siku,130
131_lookaftercarefor,"look after, care for",253,CARE FOR,(ku)tunza,131
132_intestines,intestines,1991,INTESTINES,matumbo,132
133_bellystomach,"belly, stomach",,,tumbo,133
134_liedown,lie down,215,LIE DOWN,(ku)lala,134
135_havesexualintercoursewith,have sexual intercourse with,,HAVE SEX,(ku)lala (na),135
136_sleep,sleep,1585,SLEEP,(ku)lala usingizi,136
137_spendtime,spend time,,,(ku)pisha (wakati),137
138_bridge,bridge,1011,BRIDGE,daraja,138
139_bridge,bridge,1011,BRIDGE,ulalo (wa mbao),139
140_stretchoneself,stretch oneself,214,STRETCH,(ku)jinyosha,140
141_bespreadout,be spread out,,,(ku)enea(enea),141
142_follow,follow,1085,FOLLOW,(ku)fuata,142
143_followinorder,follow (in order),,,(ku)andama,143
144_long,long,1203,LONG,-refu,144
145_serpentsnake,"serpent, snake",730,SNAKE,nyoka,145
146_today,today,1283,TODAY,leo,146
147_beard,beard,678,BEARD,ndevu,147
148_avoid,avoid,,,(ku)epuka,148
149_restheavilyonbeburdensome,"rest heavily on, be burdensome",,,(ku)lemea,149
150_honor,honor,,,(ku)heshimu,150
151_belame,be lame,320,LAME,(ku)chechemea,151
152_bemutilated,be mutilated,,,(ku)lemaa,152
153_cripple,cripple,,,kilema,153
154_makestraight,make straight,,,(ku)nyosha,154
155_increase,increase,1041,INCREASE,(ku)zidi,155
155a_increase,increase,1041,INCREASE,(ku)zidi urefu,155a
156_eat,eat,1336,EAT,(ku)la,156
157_righthand,righthand,1019,RIGHT,kulia,157
158_snaretrap,"snare, trap",1075,TRAP (PITFALL),mtego,158
159_pay,pay,718,PAY,(ku)lipa,159
160_crywail,"cry, wail",,,(ku)lia,160
161_bedstead,bedstead,,,ulili,161
162_bed,bed,1663,BED,kitanda,162
163_mourning,mourning,,,kilio,163
164_griefsorrow,"grief, sorrow",1668,GRIEF,huzuni,164
165_cultivate,cultivate,1541,CULTIVATE,(ku)lima,165
166_tongue,tongue,1205,TONGUE,ulimi,166
167_work,work,984,WORK (LABOUR),kazi,167
168_agriculture,agriculture,,,kilimo,168
169_root,root,670,ROOT,mzizi,169
170_sink,sink,1088,SINK (DESCEND),(ku)zuma (maji),170
171_bringtolight,bring to light,,,(ku)zua,171
172_pulluprootup,"pull up, root up",2066,PULL UP (RICE SEEDLINGS),(ku)ng'oa,172
173_pullupcometoahalt,"pull up, come to a halt",,,(ku)simama,173
174_turnround,turn round,1445,TURN (SOMETHING),"(ku)zungua, (ku)zungusha",174
175_whiteman,white man,2839,WHITE MAN,mzungu,175
176_stopupfillahole,"stop up, fill a hole",,,(ku)ziba,176
177_pool,pool,,,kiziwa,177
178_lake,lake,624,LAKE,ziwa,178
179_bury,bury,1719,BURY,(ku)zika,179
180_quenchextinguish,"quench, extinguish",127,EXTINGUISH,(ku)zima,180
181_getlost,get lost,423,GET LOST,(ku)potea,181
182_spiritofdeadperson,spirit (of dead person),,,mzimu,182
183_goroundturnround,"go round, turn round",,TURN AROUND,(ku)zinga,183
184_surround,surround,,,(ku)zunguka,184
185_twist,twist,430,TWIST,(ku)sokota,185
186_bendtwist,"bend, twist",,BEND,(ku)pinda,186
187_windupthread,wind up (thread),,,(ku)kunja (uzi),187
188_close,close,,CLOSE (MOUTH),(ku)sinzia,188
189_fishhook,fish-hook,1074,FISHHOOK,ndoana,189
190_fish,fish,,FISHING,(ku)vua (samaki),190
191_fishuppullout,"fish up, pull out",2325,PULL OUT,(ku)opoa,191
192_whistling,whistling,1025,WHISTLE,ubinja / uwinja,192
193_bewitch,bewitch,118,BEWITCH,(ku)loga,193
194_witchcraft,witchcraft,392,MAGIC,ulozi,194
195_sorcerer,sorcerer,823,SORCERER,mchawi,195
196_drizzle,drizzle,1016,DRIZZLE,manyunyu,196
197_rainyseason,rainy season,453,RAINY SEASON,masika,197
198_lip,lip,478,LIP,mdomo,198
199_askfor,ask for,1828,ASK (REQUEST),(ku)omba,199
200_lookforhandaroundtogetsomething,"look for, hand around (to get something) ",,,(ku)londea,200
201_sore,sore,51,SORE,kidonda,201
202_startoffsendaway,"start off, send away",,,(ku)ondoa,202
203_arrangeputinorder,"arrange, put in order",1568,ARRANGE,(ku)panga,203
204_arrangeputrightrepair,"arrange, put right, repair",2243,REPAIR,(ku)tengeneza,204
205_guidearight,guide aright,,,(ku)ongoa,205
206_increasemakegreater,"increase, make greater",1041,INCREASE,(ku)ongeza,206
207_pack,pack,,,(ku)funga pamoja (mizigo),207
208_packpresstogether,"pack, press together",,,(ku)songa,208
209_river,river,666,RIVER,mto,209
210_well,well,954,WELL,kisima,210
211_number,number,1356,NUMBER,mwongo / mlongo,211
212_groovefurrow,"groove, furrow",1794,FURROW,mfuo,212
213_linerow,"line, row",1048,LINE,mstari,213
214_beingoneeyed,being one-eyed,,,uchongo,214
215_dream,dream,,DREAM (SOMETHING),(ku)ota (ndoto),215
216_fight,fight,1423,FIGHT,(ku)pigana,216
217_overcomewinvanquish,"overcome, win, vanquish",1999,OVERCOME,(ku)shinda,217
218_kill,kill,1417,KILL,(ku)ua,218
219_puttodeath,put to death,,,(ku)fisha,219
220_slaughter,slaughter,1796,SLAUGHTER,(ku)chinja,220
221_bitter,bitter,887,BITTER,-chungu,221
222_bile,bile,1780,BILE,nyongo,222
223_bladder,bladder,1746,BLADDER,kibofu,223
224_vomit,vomit,1278,VOMIT,(ku)tapika,224
225_plait,plait,1729,PLAIT OR BRAID OR WEAVE,(ku)suka,225
226_male,male,1553,MALE,(d)ume,226
227_husband,husband,1200,HUSBAND,mume,227
228_storeupcollect,"store up, collect",,,(ku)kusanya,228
229_addup,add up,,ADD,(ku)jumlisha,229
230_constructputtogether,"construct, put together",,,(ku)unda,230
231_becomeburnt,become burnt,1428,BURNING,(ku)ungua,231
232_passsurpass,"pass, surpass",402,SURPASS,(ku)pita,232
233_takeoffclothes,take off (clothes),1755,UNDRESS,(ku)vua (nguo),233
234_wear,wear,976,WEAR,(ku)vaa,234
235_clothe,clothe,158,PUT ON,(ku)vika,235
236_paddle,paddle,234,PADDLE,kafi,236
237_oar,oar,108,RUDDER,kasia,237
238_blowbellows,blow bellows,,,(ku)vukuta,238
239_roarrumble,"roar, rumble",,,(ku)vuma,239
240_smellbad,smell (bad),42,STINKING,(ku)nuka,240
241_smellsweet,smell (sweet),,,(ku)nukia,241
242_badsmelloffish,bad smell (of fish),,,vumba,242
243_dustcloudofdust,"dust, cloud of dust",2,DUST,vumbi,243
244_pull,pull,1455,PULL,(ku)vuta,244
245_divide,divide,1119,DIVIDE,(ku)gawa,245
246_giveawaypresent,give away (present),196,DONATE,(ku)toa (zawadi),246
247_turnroundchange,"turn round, change",,,(ku)geuka,247
248_alterchange,"alter, change",1264,CHANGE,(ku)badili,248
249_gobackreturn,"go back, return",,RETURN HOME,(ku)rejea,249
250_lieononesback,lie on one's back,1411,LIE (REST),(ku)lala chali,250
251_saytotellto,"say to, tell to",1458,SAY,(ku)ambia,251
252_abuse,abuse,,,(ku)amba,252
253_speak,speak,1623,SPEAK,(ku)sema,253
254_affair,affair,2214,AFFAIR,jambo,254
255_clan,clan,302,CLAN,ukoo,255
256_navel,navel,1838,NAVEL,kitovu,256
257_palmofhand,palm (of hand),1183,PALM OF HAND,kitanga (cha mkono),257
258_tieup,tie up,1094,FASTEN,(ku)funga kwa kamba,258
259_medicineremedy,"medicine, remedy",,,dawa,259
260_medicineartofmedicineman,medicine (=art of medicine man) ,1372,MEDICINE,utabibu,260
261_medicineman,medicine man,394,SHAMAN (FOLK HEALER),mganga,261
262_bindupsplice,"bind up, splice",,,(ku)ganga,262
263_howmany,how many?,822,HOW MANY,-ngapi?,263
264_iron,iron,621,IRON,chuma,264
265_copperbrass,"copper, brass",1825,COPPER,shaba,265
266_steel,steel,2343,STEEL,(chuma cha) pua,266
267_tooth,tooth,1380,TOOTH,jino,267
268_strangerguest,"stranger, guest",1782,GUEST,mgeni,268
269_go,go,,,(kw)enda,269
269a_walk,walk,1443,WALK,(kw)enda kwa miguu,269a
270_travel,travel,,,(ku)safiri,270
271_journey,journey,2393,JOURNEY,safari,271
272_movement,movement,,,mwendo,272
273_egg,egg,744,EGG,yai,273
274_act,act,,,(ku)tenda,274
275_imitate,imitate,117,IMITATE,(ku)iga / (ku)igiza,275
276_village,village,930,VILLAGE,kijiji,276
277_town,town,1391,TOWN,mji,277
278_fly,fly,,,inzi,278
279_withholdfrom,withhold from,,,(ku)nyima,279
279a_abstain,abstain,,,(ku)jinyima,279a
280_fireplacehearthkitchen,"fireplace, hearth, kitchen",185,FIREPLACE,jiko,280
281_name,name,1405,NAME,jina,281
282_string,string,362,STRING,uzi,282
283_copyapattern,copy a pattern,,,(ku)oleza,283
284_drum,drum,908,DRUM,ngoma,284
285_cow,cow,1007,COW,ng'ombe,285
286_cattle,cattle,1153,CATTLE,mifugo,286
287_sheep,sheep,1331,SHEEP,kondoo,287
288_horse,horse,615,HORSE,farasi,288
289_duck,duck,1360,DUCK,bata,289
290_millipede,millipede,,,jongoo,290
291_roostercock,rooster (=cock),1511,ROOSTER,jogoo,291
292_donkey,donkey,1862,DONKEY,punda,292
292a_zebra,zebra,3675,ZEBRA,punda milia,292a
293_tortoise,tortoise,895,TORTOISE,kobe,293
294_hare,hare,,,sungura,294
295_frog,frog,503,FROG,chura,295
296_snoresnort,"snore, snort",1983,SNORE,(ku)koroma,296
297_back,back,1291,BACK,mgongo,297
297a_backbone,backbone,,,uti wa mgongo,297a
298_fall,fall,1276,AUTUMN,(ku)anguka,298
299_cloth,cloth,1616,CLOTH,kitambaa,299
300_clothesmaterial,"clothes, material",1895,CLOTHES,nguo,300
301_buy,buy,1869,BUY,(ku)nunua,301
302_sell,sell,1571,SELL,(ku)uza,302
303_sky,sky,1732,SKY,mbingu,303
304_lightsky,"light, sky",,LIGHT (RADIATION),anga,304
305_cloud,cloud,1489,CLOUD,wingu,305
306_toppeak,"top, peak",,TOP,kilele,306
307_highestpointutmost,"highest point, utmost",2205,PEAK,kipeo,307
308_crownofthehead,crown of the head,,,utosi,308
309_hill,hill,614,HILL,kilima,309
310_legfoot,"leg, foot",2098,FOOT OR LEG,mguu,310
311_upabove,"up, above",1741,ABOVE,juu,311
312_pig,pig,1337,PIG,nguruwe,312
313_barrenoflivingbeing,barren (of living being),,,tasa,313
314_barrenofland,barren (of land),,,kame,314
315_sterilemanorwoman,sterile man (or woman),,,mgumba,315
316_garden,garden,586,GARDEN,bustani,316
317_hippopotamus,hippopotamus,,,kiboko,317
318_rhinoceros,rhinoceros,2591,RHINOCEROS,kifaru,318
319_crossariver,cross (a river),1742,TRAVERSE,(ku)vuka,319
320_hunger,hunger,1864,HUNGER,njaa,320
321_rubbishheap,rubbish heap,909,GARBAGE,jaa,321
322_water,water,948,WATER,maji,322
323_fingernail,fingernail,1258,FINGERNAIL,ukucha,323
324_outside,outside,762,OUTSIDE,nje,324
325_path,path,2252,PATH,njia,325
326_highway,highway,,,barabara,326
327_vision,vision,,,njozi,327
328_dream,dream,2374,DREAM,ndoto,328
329_elephant,elephant,1290,ELEPHANT,ndovu (=tembo),329
330_voice,voice,1363,VOICE,sauti,330
331_soundcry,"sound, cry",,SOUND (OF INSTRUMENT OR VOICE),mlio,331
332_smallpox,smallpox,1054,SMALLPOX,ndui,332
333_sun,sun,1343,SUN,jua,333
334_charcoal,charcoal,1188,CHARCOAL,kaa,334
335_crab,crab,2348,CRAB,kaa (ya pwani),335
336_embers,embers,67,EMBERS,kaa la moto,336
337_ashes,ashes,646,ASH,jivu,337
338_woman,woman,962,WOMAN,mwanamke,338
339_wife,wife,1199,WIFE,mke,339
340_protectbycharm,protect by charm,,,(ku)kaga,340
341_olderbrother,(older) brother,1759,OLDER BROTHER,kaka,341
342_palate,palate,540,PALATE,kaakaa,342
343_squeezemilk,"squeeze, milk",93,DRAW MILK,(ku)kama,343
344_wring,wring,1414,SQUEEZE,(ku)kamua (nguo),344
345_dryupbecomedry,"dry up, become dry",1786,DRY UP,(ku)kauka,345
346_dry,dry,1398,DRY,-kavu,346
347_knead,knead,274,KNEAD,(ku)kanda,347
348_knee,knee,1371,KNEE,goti,348
349_fry,fry,,,(ku)kaanga,349
350_roast,roast,1962,ROAST (SOMETHING),(ku)choma (kwa moto),350
351_guineafowl,guinea-fowl,456,GUINEA FOWL,kanga,351
352_headpad,head-pad,,,kata,352
353_inside,inside,1606,INSIDE,kati,353
353a_inthemiddleof,in the middle of,,,katikati,353a
354_lookatexamine,"look at, examine",1819,LOOK,(ku)tazama,354
354a_lookround,look round,,,(ku)tazama pote (=kutupa jicho huko na huko),354a
355_cut,cut,,,(ku)kata,355
356_head,head,1256,HEAD,kichwa,356
357_tobaccopipe,tobacco pipe,1124,PIPE,kiko,357
358_gruntgrumble,"grunt, grumble",,,(ku)guna,358
359_dawndaybreak,"dawn, daybreak",729,DAWN,mapambazuko,359
360_tail,tail,1220,TAIL,mkia,360
361_monkeysmalldarkcoloured,"monkey (small, dark-coloured)",1350,MONKEY,kima,361
362_colobusmonkeywithlongblacksilkhairwhiteontheshoulders,"colobus monkey (with long black silk hair, white on the shoulders) ",,,mbega,362
363_smalllightishcolouredmonk,(small lightish-coloured) monk,,,tumbili,363
364_baboonape,"baboon, ape",1197,BABOON,nyani,364
365_danceofmentoshowcourage,"dance (of men, to show courage",,,(ku)randa,365
366_do,do,813,DO,(ku)fanya,366
367_docompletefinish,"do, complete, finish",,FINISH,(ku)maliza,367
368_grantsgazelle,Grant's gazelle,5,GAZELLE,swala,368
369_poundgraininamortartogethusksoff,pound (grain in a mortar to get husks off) ,354,POUND,(ku)twanga,369
370_crushbypoundingpulverise,"crush by pounding, pulverise",1520,CRUSH,(ku)ponda,370
371_grindgrainwithamillstone,grind (grain with a millstone),1033,GRIND,(ku)saga,371
372_grindcoarsely,grind coarsely,,,(ku)paaza,372
373_gruel,gruel,1167,GRUEL,uji,373
374_porridge,porridge,,,ugali,374
375_bread,bread,1368,BREAD,mkate,375
376_baseoftreetrunk,base of tree-trunk,,,shina,376
377_hardshipdistress,"hardship, distress",,,shida,377
378_trampoffeet,tramp of feet,,,mshindo (wa miguu),378
379_neck,neck,1333,NECK,shingo,379
380_vein,vein,1924,VEIN,mshipa (wa damu),380
381_brotherinlawsisterinlaw,"brother-in-law, sister-in-law",,,shemeji,381
382_fatherinlawmotherinlaw,"father-in-law, mother-in-law",306,PARENTS-IN-LAW,mkwe,382
383_cough,cough,879,COUGH,(ku)kohoa,383
384_beproperlyflavoured,be properly flavoured,,,(ku)kolea,384
385_becomecoolgetwell,become cool; get well,,,(ku)poa,385
386_besharp,be sharp,1396,SHARP,(ku)koa,386
387_snailslug,"snail, slug",1543,SNAIL,kaa,387
388_eastafricangoshawk,East African goshawk,,,kozi,388
389_getintoxicated,get intoxicated,,,(ku)jilevya,389
390_stareglare,"stare, glare",,,(ku)kodoa (macho),390
391_heapupreadysetonfire,"heap up, ready, set on fire",,,(ku)koka (moto),391
392_sweepupcollectinaheaprubbish,"sweep up, collect in a heap (rubbish) ",230,SWEEP,(ku)kokoa (taka),392
393_crust,crust,,,ukoko,393
394_cometoanend,come to an end,,,(ku)koma,394
395_strikeknock,"strike, knock",2396,KNOCK,(ku)gonga,395
396_hitwithahammer,hit with a hammer,,,(ku)piga nyundo,396
397_bananafruit,banana (fruit),868,BANANA,ndizi,397
398_bananaplant,banana (plant),,BANANA TREE,mgomba,398
399_bananaforcooking,banana for cooking,,,mzuzu (=matoke),399
400_fist,fist,1473,FIST,konde,400
401_trunkofelephant,trunk (of elephant),,,mkonga,401
402_thincurvedbroadbladedknife,"thin, curved, broad-bladed knife ",,,kotama,402
403_napeofneck,nape (of neck),1347,NAPE (OF NECK),ukosi,403
404_seize,seize,855,SEIZE,(ku)kamata,404
405_growupgetlargebecomegreat,"grow up, get large, become great ",,,(ku)kua,405
406_grate,grate,,,(ku)kwaruza,406
407_stumble,stumble,2894,TUMBLE (FALL DOWN),(ku)kwaa,407
408_getobtain,"get, obtain",694,GET,(ku)pata,408
409_greatpowerful,"great, powerful",3001,POWERFUL,-kuu,409
410_old,old,1229,OLD,-kuukuu,410
411_oldperson,old person,725,OLD PERSON,mzee,411
412_ten,ten,1515,TEN,kumi,412
413_firewood,firewood,10,FIREWOOD,kuni,413
414_kindofpigeon,(kind of pigeon),,,kunda,414
415_redeyeddove,(red-eyed) dove,1853,DOVE,njiwa,415
416_kindofbean,(kind of bean),,,(u)kunde,416
417_smallbean,small bean,,,maharag(w)e,417
418_hemmakeaborder,"hem, make a border",,,(ku)kunga,418
419_gatherflowersfruit,"gather (flowers, fruit)",,,(ku)chuma,419
420_cattleordogtick,(cattle or dog) tick,1527,TICK,kupe,420
421_figtree,fig tree,,,mtini,421
422_figmulberrytree,fig mulberry tree,,,mkuyu,422
423_deadperson,dead person,,,mfu,423
424_death,death,910,DEATH,kifo,424
425_die,die,1494,DIE,(ku)fa,425
426_inheritance,inheritance,,,urithi,426
427_kneel,kneel,66,KNEEL,(ku)piga magoti,427
428_giveoutsmoke,give out smoke,,,(ku)fukia,428
429_keeplivestock,keep livestock,,,(ku)fuga,429
430_shoulder,shoulder,1482,SHOULDER,fuzi,430
431_chief,chief,301,CHIEFTAIN,mfumo,431
431a_chiefheadman,"chief, headman",,,jumbe,431a
432_graspholdinarm,"grasp, hold in arm",1448,HOLD,(ku)fumbata,432
433_bone,bone,1394,BONE,mfupa,433
434_short,short,1645,SHORT,-fupi,434
435_oil,oil,,,mafuta (laini),435
436_mother,mother,1216,MOTHER,mama,436
437_dew,dew,1977,DEW,umande,437
438_swallow,swallow,897,SWALLOW,(ku)meza,438
439_lefthand,left-hand,244,LEFT,kushoto,439
440_one,one,1493,ONE,mosi (=moja),440
441_pouraway,pour away,,,(ku)mwaga,441
442_four,four,1500,FOUR,nne,442
443_eight,eight,1705,EIGHT,nane,443
444_thickfat,"thick, fat",1244,THICK,-nene,444
445_tomato,tomato,986,TOMATO,nyanya,445
446_urinate,urinate,592,PISS,(ku)nya,446
446a_defecate,defecate,,,(ku)nya mavi,446a
447_finger,finger,1303,FINGER,kidole (cha mkono),447
448_drink,drink,1401,DRINK,(ku)nywa,448
449_give,give,1447,GIVE,(ku)pa,449
450_separateleaveeachother,"separate, leave each other",,,(ku)achana,450
451_separatesetapart,"separate, set apart",1359,SEPARATE,(ku)tenga,451
452_twin,twin,1005,TWINS,pacha,452
453_scrape,scrape,1767,SCRAPE,(ku)paa,453
454_smallgazelle,small gazelle,,,paa,454
455_thatchedroof,thatched roof,,,paa,455
456_packflockgroup,"pack, flock, group",,,kundi,456
457_packbalebundle,"pack, bale, bundle",,,mtumba,457
458_forkbifurcation,"fork, bifurcation",,,panda,458
459_palpitate,palpitate,,,(ku)papa,459
460_becomejammed,become jammed,,,(ku)kwama,460
461_befullygrown,be fully grown,,,"(ku)pea, (ku)pevuka",461
462_fanwave,"fan, wave",1971,FAN (OBJECT),(ku)pepea,462
463_blowaway,blow away,176,BLOW (WITH MOUTH),(ku)peperusha,463
464_disembodiedspirit,(disembodied) spirit,53,SPIRIT,pepo,464
465_cold,cold,102,COMMON COLD (DISEASE),baridi,465
466_diminishgrowless,"diminish, grow less",1184,DIMINISH,(ku)pungua,466
467_lightinweight,light in weight,1052,LIGHT (WEIGHT),-epesi,467
468_bend,bend,2224,BEND (SOMETHING),(ku)peta,468
469_which,which?,727,WHICH,-pi?,469
470_slap,slap,,,(ku)piga kofi,470
471_cook,cook,1100,COOK (SOMETHING),(ku)pika,471
472_ripen,ripen,179,RIPEN,(ku)iva,472
473_ripe,ripe,178,RIPE,-bivu,473
474_fire,fire,221,FIRE,moto,474
475_puffadder,puff-adder,,,pili,475
476_handlehaft,"handle, haft",1254,HANDLE,pini,476
477_kidney,kidney,489,KIDNEY,figo,477
478_arrive,arrive,1387,ARRIVE,(ku)fika,478
479_pinchmakenarrow,"pinch, make narrow",378,PINCH,(ku)finya,479
480_suck,suck,1421,SUCK,(ku)fyonza,480
481_darkness,darkness,11,DARKNESS,giza,481
482_blindperson,blind person,457,BLIND PERSON,kipofu,482
483_twist,twist,430,TWIST,(ku)pota,483
484_nose,nose,1221,NOSE,pua,484
485_bequiet,be quiet,1314,QUIET,(ku)tulia,485
486_ceasefinish,"cease, finish",1928,CEASE,(kw)isha,486
487_stripoffeggrainsofcorn,strip off (e.g. grains of corn),,,(ku)pura,487
488_fieldrat,field rat,,,puku,488
489_breathbreathing,"breath, breathing",870,BREATH,pumzi,489
490_breatherest,"breathe, rest",,,(ku)pumua,490
